placement,device_type,traffic_source,brand_name,category,recommendation_impressions,recommendation_clicks,recommendation_purchases,sessions_reached,customers_reached,recommendation_ctr_pct,recommendation_cvr_pct,recommendation_purchase_rate_pct,avg_rec_rank,avg_product_price,avg_product_rating,total_loves_signal,recommendation_action_segment
cart_cross_sell,mobile_app,organic,SEPHORA COLLECTION,Makeup,171,28.0,7.0,167,167,16.37,25.0,4.09,2.67,16.81,4.13,10782564.0,Normal Recommendation Segment
pdp_similar,mobile_app,email,SEPHORA COLLECTION,Makeup,202,32.0,7.0,193,192,15.84,21.88,3.47,2.83,17.93,4.16,11837064.0,Normal Recommendation Segment
pdp_similar,desktop,paid_social,SEPHORA COLLECTION,Makeup,189,29.0,7.0,182,182,15.34,24.14,3.7,2.68,18.24,4.19,9528822.0,Normal Recommendation Segment
pdp_similar,mobile_web,organic,Kiehl's Since 1851,Skincare,86,13.0,7.0,85,85,15.12,53.85,8.14,2.74,48.71,4.26,3072766.0,Normal Recommendation Segment
email_recs,mobile_web,direct,Oribe,Hair,38,12.0,6.0,37,37,31.58,50.0,15.79,2.61,45.71,4.21,336162.0,Strong Recommendation Segment
pdp_similar,mobile_web,paid_search,Smashbox,Makeup,55,15.0,6.0,53,53,27.27,40.0,10.91,2.38,32.49,4.18,1987415.0,Strong Recommendation Segment
pdp_similar,mobile_web,paid_search,KVD Beauty,Makeup,60,16.0,6.0,59,59,26.67,37.5,10.0,2.9,28.23,3.99,4967024.0,Strong Recommendation Segment
home_recs,mobile_app,email,Anastasia Beverly Hills,Makeup,90,24.0,6.0,90,90,26.67,25.0,6.67,2.6,29.98,4.2,8090063.0,Strong Recommendation Segment
pdp_similar,mobile_web,email,Charlotte Tilbury,Makeup,68,18.0,6.0,66,66,26.47,33.33,8.82,3.0,36.29,4.1,5833460.0,Strong Recommendation Segment
pdp_similar,mobile_web,paid_social,Kiehl's Since 1851,Skincare,61,16.0,6.0,60,60,26.23,37.5,9.84,2.69,50.33,4.26,1443867.0,Strong Recommendation Segment
pdp_similar,desktop,organic,Benefit Cosmetics,Makeup,70,18.0,6.0,70,70,25.71,33.33,8.57,2.64,27.97,4.12,9045611.0,Strong Recommendation Segment
email_recs,mobile_app,email,Oribe,Hair,44,11.0,6.0,43,43,25.0,54.55,13.64,2.82,46.64,4.18,419755.0,Strong Recommendation Segment
email_recs,mobile_web,paid_search,Anastasia Beverly Hills,Makeup,59,14.0,6.0,58,58,23.73,42.86,10.17,2.68,23.65,4.12,6453223.0,Strong Recommendation Segment
home_recs,mobile_app,organic,CLINIQUE,Makeup,98,22.0,6.0,96,96,22.45,27.27,6.12,2.86,29.64,4.17,4264207.0,Strong Recommendation Segment
email_recs,mobile_app,organic,Bumble and bumble,Hair,106,23.0,6.0,106,106,21.7,26.09,5.66,2.92,30.58,4.17,1526608.0,Strong Recommendation Segment
pdp_similar,mobile_app,affiliate,SEPHORA COLLECTION,Makeup,107,23.0,6.0,98,98,21.5,26.09,5.61,3.14,18.77,4.12,8097130.0,Strong Recommendation Segment
pdp_similar,mobile_app,organic,Moroccanoil,Hair,114,24.0,6.0,112,112,21.05,25.0,5.26,2.73,32.07,4.11,2890395.0,Strong Recommendation Segment
pdp_similar,mobile_app,paid_social,Tatcha,Skincare,73,15.0,6.0,72,72,20.55,40.0,8.22,2.41,64.14,4.32,7031779.0,Strong Recommendation Segment
pdp_similar,mobile_web,paid_social,CLINIQUE,Skincare,91,18.0,6.0,89,89,19.78,33.33,6.59,2.65,40.85,4.15,2243338.0,Normal Recommendation Segment
pdp_similar,mobile_app,paid_search,Commodity,Fragrance,87,17.0,6.0,86,86,19.54,35.29,6.9,2.51,67.17,4.22,308003.0,Normal Recommendation Segment
pdp_similar,mobile_app,influencer,Moroccanoil,Hair,41,8.0,6.0,41,41,19.51,75.0,14.63,3.15,29.51,4.3,726512.0,Normal Recommendation Segment
home_recs,mobile_app,organic,CLINIQUE,Skincare,123,24.0,6.0,122,122,19.51,25.0,4.88,2.81,35.7,4.04,2907501.0,Normal Recommendation Segment
pdp_similar,desktop,paid_social,tarte,Makeup,124,24.0,6.0,117,117,19.35,25.0,4.84,2.69,26.81,4.04,6421082.0,Normal Recommendation Segment
pdp_similar,mobile_web,paid_search,Anastasia Beverly Hills,Makeup,140,27.0,6.0,138,138,19.29,22.22,4.29,2.81,26.91,4.19,14086616.0,Normal Recommendation Segment
email_recs,mobile_app,organic,SEPHORA COLLECTION,Makeup,193,37.0,6.0,188,188,19.17,16.22,3.11,2.79,17.11,4.17,11751847.0,Normal Recommendation Segment
cart_cross_sell,desktop,organic,SEPHORA COLLECTION,Makeup,127,24.0,6.0,124,124,18.9,25.0,4.72,2.67,18.93,4.18,7015702.0,Normal Recommendation Segment
pdp_similar,mobile_app,direct,Fenty Beauty by Rihanna,Makeup,85,16.0,6.0,81,81,18.82,37.5,7.06,2.67,29.12,4.11,14226892.0,Normal Recommendation Segment
pdp_similar,mobile_app,paid_search,Moroccanoil,Hair,101,19.0,6.0,100,100,18.81,31.58,5.94,2.77,35.78,4.23,3099666.0,Normal Recommendation Segment
pdp_similar,mobile_app,organic,Anastasia Beverly Hills,Makeup,142,26.0,6.0,140,140,18.31,23.08,4.23,2.82,27.97,4.23,13155871.0,Normal Recommendation Segment
pdp_similar,desktop,organic,SEPHORA COLLECTION,Makeup,252,46.0,6.0,238,237,18.25,13.04,2.38,2.69,18.62,4.16,13010841.0,Normal Recommendation Segment
pdp_similar,mobile_app,organic,CLINIQUE,Makeup,110,20.0,6.0,108,108,18.18,30.0,5.45,2.53,30.04,4.15,4174624.0,Normal Recommendation Segment
home_recs,mobile_app,paid_search,NEST New York,Fragrance,144,26.0,6.0,141,141,18.06,23.08,4.17,2.57,53.87,4.3,946038.0,Normal Recommendation Segment
email_recs,mobile_web,paid_social,SEPHORA COLLECTION,Makeup,119,21.0,6.0,116,116,17.65,28.57,5.04,2.64,18.46,4.14,8644886.0,Normal Recommendation Segment
pdp_similar,mobile_app,organic,Kérastase,Hair,189,33.0,6.0,189,189,17.46,18.18,3.17,2.58,47.99,4.28,2498228.0,Normal Recommendation Segment
pdp_similar,mobile_web,paid_social,SEPHORA COLLECTION,Makeup,231,40.0,6.0,221,221,17.32,15.0,2.6,2.71,17.77,4.15,13061455.0,Normal Recommendation Segment
home_recs,mobile_app,paid_search,SEPHORA COLLECTION,Skincare,134,23.0,6.0,130,130,17.16,26.09,4.48,2.79,14.6,4.03,3458331.0,Normal Recommendation Segment
home_recs,mobile_app,organic,Kérastase,Hair,152,26.0,6.0,148,148,17.11,23.08,3.95,3.03,46.79,4.26,2148729.0,Normal Recommendation Segment
pdp_similar,mobile_app,paid_search,CLINIQUE,Skincare,149,25.0,6.0,147,147,16.78,24.0,4.03,2.7,39.43,4.02,3251731.0,Normal Recommendation Segment
pdp_similar,mobile_app,paid_search,SEPHORA COLLECTION,Skincare,153,24.0,6.0,153,153,15.69,25.0,3.92,2.82,12.96,4.01,3178257.0,Normal Recommendation Segment
pdp_similar,mobile_web,organic,Anastasia Beverly Hills,Makeup,152,23.0,6.0,147,147,15.13,26.09,3.95,2.9,26.82,4.23,13476753.0,Normal Recommendation Segment
pdp_similar,mobile_app,paid_search,Anastasia Beverly Hills,Makeup,153,23.0,6.0,152,152,15.03,26.09,3.92,2.88,28.52,4.28,14579247.0,Normal Recommendation Segment
cart_cross_sell,mobile_app,paid_search,SEPHORA COLLECTION,Skincare,100,15.0,6.0,100,100,15.0,40.0,6.0,2.73,14.06,4.1,2383728.0,Normal Recommendation Segment
pdp_similar,mobile_app,organic,Tata Harper,Skincare,67,10.0,6.0,67,67,14.93,60.0,8.96,2.73,98.57,4.09,703411.0,Normal Recommendation Segment
pdp_similar,mobile_web,organic,Kérastase,Hair,170,25.0,6.0,169,169,14.71,24.0,3.53,2.71,47.25,4.29,2506817.0,Normal Recommendation Segment
home_recs,desktop,email,SEPHORA COLLECTION,Makeup,115,16.0,6.0,104,104,13.91,37.5,5.22,2.97,18.81,4.17,5847145.0,Normal Recommendation Segment
home_recs,mobile_app,paid_search,Jo Malone London,Fragrance,91,12.0,6.0,91,91,13.19,50.0,6.59,2.59,119.38,4.06,1293113.0,Normal Recommendation Segment
cart_cross_sell,mobile_app,organic,Oribe,Hair,69,27.0,5.0,69,69,39.13,18.52,7.25,2.75,49.75,4.18,554073.0,Strong Recommendation Segment
email_recs,mobile_app,email,HUM Nutrition,Skincare,18,7.0,5.0,17,17,38.89,71.43,27.78,2.44,30.06,4.3,212939.0,Strong Recommendation Segment
cart_cross_sell,desktop,paid_search,amika,Hair,32,12.0,5.0,32,32,37.5,41.67,15.63,2.38,45.03,4.04,1007634.0,Strong Recommendation Segment
pdp_similar,tablet,paid_search,SEPHORA COLLECTION,Skincare,22,8.0,5.0,22,22,36.36,62.5,22.73,2.77,14.61,3.94,469338.0,Strong Recommendation Segment
cart_cross_sell,mobile_app,organic,NUDESTIX,Makeup,31,11.0,5.0,31,31,35.48,45.45,16.13,3.0,30.48,4.24,487374.0,Strong Recommendation Segment
pdp_similar,mobile_web,direct,Gucci,Fragrance,43,15.0,5.0,42,42,34.88,33.33,11.63,3.12,92.26,4.13,615389.0,Strong Recommendation Segment
email_recs,mobile_app,paid_search,Too Faced,Makeup,58,19.0,5.0,56,56,32.76,26.32,8.62,2.93,34.07,4.1,6651552.0,Strong Recommendation Segment
home_recs,mobile_web,paid_search,Juliette Has a Gun,Fragrance,48,15.0,5.0,48,48,31.25,33.33,10.42,2.85,81.1,3.97,654598.0,Strong Recommendation Segment
pdp_similar,mobile_web,organic,TOM FORD,Makeup,43,13.0,5.0,43,43,30.23,38.46,11.63,2.81,74.98,4.22,1485314.0,Strong Recommendation Segment
email_recs,desktop,organic,Anastasia Beverly Hills,Makeup,73,22.0,5.0,70,70,30.14,22.73,6.85,2.89,29.49,4.27,8008179.0,Strong Recommendation Segment
home_recs,mobile_web,paid_search,Briogeo,Hair,77,22.0,5.0,74,74,28.57,22.73,6.49,2.78,33.47,4.11,2094989.0,Strong Recommendation Segment
home_recs,mobile_web,paid_social,ALTERNA Haircare,Hair,46,13.0,5.0,45,45,28.26,38.46,10.87,2.91,37.52,4.28,593298.0,Strong Recommendation Segment
home_recs,mobile_app,paid_search,Oribe,Hair,118,33.0,5.0,113,113,27.97,15.15,4.24,2.58,47.33,4.23,1157530.0,Strong Recommendation Segment
pdp_similar,mobile_app,paid_social,Paula's Choice,Skincare,54,15.0,5.0,53,53,27.78,33.33,9.26,2.57,39.65,4.39,1629219.0,Strong Recommendation Segment
pdp_similar,mobile_app,paid_search,Murad,Skincare,95,26.0,5.0,95,95,27.37,19.23,5.26,2.44,52.85,4.35,1849257.0,Strong Recommendation Segment
pdp_similar,mobile_web,direct,Anastasia Beverly Hills,Makeup,100,27.0,5.0,98,98,27.0,18.52,5.0,2.71,28.89,4.28,8010537.0,Strong Recommendation Segment
pdp_similar,mobile_web,affiliate,Kiehl's Since 1851,Skincare,26,7.0,5.0,26,26,26.92,71.43,19.23,2.54,51.88,4.31,739254.0,Strong Recommendation Segment
pdp_similar,mobile_app,paid_social,Yves Saint Laurent,Fragrance,54,14.0,5.0,54,53,25.93,35.71,9.26,2.85,104.63,4.52,2145603.0,Strong Recommendation Segment
cart_cross_sell,mobile_web,affiliate,SEPHORA COLLECTION,Makeup,39,10.0,5.0,39,39,25.64,50.0,12.82,2.51,15.67,4.22,2220540.0,Strong Recommendation Segment
pdp_similar,mobile_app,email,Charlotte Tilbury,Makeup,78,20.0,5.0,78,78,25.64,25.0,6.41,2.96,39.87,4.02,6495857.0,Strong Recommendation Segment
pdp_similar,mobile_web,organic,VOLUSPA,Fragrance,68,17.0,5.0,68,68,25.0,29.41,7.35,2.57,28.06,4.32,361328.0,Strong Recommendation Segment
pdp_similar,mobile_web,paid_search,Dior,Makeup,89,22.0,5.0,88,88,24.72,22.73,5.62,2.61,42.84,4.22,9612297.0,Strong Recommendation Segment
home_recs,mobile_web,organic,Origins,Skincare,62,15.0,5.0,62,62,24.19,33.33,8.06,2.68,42.66,4.32,2671142.0,Strong Recommendation Segment
pdp_similar,mobile_web,organic,Briogeo,Hair,87,21.0,5.0,87,87,24.14,23.81,5.75,2.53,32.29,4.06,2758496.0,Strong Recommendation Segment
home_recs,mobile_app,paid_search,Rare Beauty by Selena Gomez,Makeup,58,14.0,5.0,57,57,24.14,35.71,8.62,2.5,22.76,4.31,8059717.0,Strong Recommendation Segment
pdp_similar,mobile_web,paid_social,Fenty Beauty by Rihanna,Makeup,87,21.0,5.0,85,85,24.14,23.81,5.75,2.71,28.32,4.12,9550283.0,Strong Recommendation Segment
home_recs,mobile_app,paid_search,Virtue,Hair,83,20.0,5.0,82,82,24.1,25.0,6.02,2.46,38.61,4.28,347409.0,Strong Recommendation Segment
cart_cross_sell,mobile_web,direct,CLINIQUE,Skincare,42,10.0,5.0,41,41,23.81,50.0,11.9,2.74,40.02,4.12,870515.0,Strong Recommendation Segment
pdp_similar,desktop,paid_search,Dior,Makeup,68,16.0,5.0,66,66,23.53,31.25,7.35,2.46,44.28,4.11,6680881.0,Strong Recommendation Segment
pdp_similar,desktop,paid_search,Anastasia Beverly Hills,Makeup,132,31.0,5.0,129,129,23.48,16.13,3.79,2.7,27.3,4.23,12834451.0,Strong Recommendation Segment
home_recs,desktop,paid_search,Kérastase,Hair,103,24.0,5.0,103,103,23.3,20.83,4.85,2.5,47.4,4.28,1355915.0,Strong Recommendation Segment
pdp_similar,desktop,organic,Anastasia Beverly Hills,Makeup,114,26.0,5.0,112,112,22.81,19.23,4.39,2.52,27.71,4.35,10424103.0,Strong Recommendation Segment
pdp_similar,mobile_app,organic,Commodity,Fragrance,66,15.0,5.0,64,64,22.73,33.33,7.58,2.48,68.06,4.37,233343.0,Strong Recommendation Segment
home_recs,mobile_web,email,Moroccanoil,Hair,62,14.0,5.0,61,61,22.58,35.71,8.06,2.79,29.52,4.15,1466036.0,Strong Recommendation Segment
pdp_similar,mobile_app,paid_search,Benefit Cosmetics,Makeup,80,18.0,5.0,79,79,22.5,27.78,6.25,2.7,25.86,4.23,7719876.0,Strong Recommendation Segment
home_recs,mobile_app,paid_social,MAKE UP FOR EVER,Makeup,99,22.0,5.0,97,97,22.22,22.73,5.05,2.78,33.99,4.29,3076629.0,Strong Recommendation Segment
pdp_similar,mobile_web,paid_search,Origins,Skincare,59,13.0,5.0,58,58,22.03,38.46,8.47,2.64,40.47,4.29,2288702.0,Strong Recommendation Segment
pdp_similar,mobile_web,paid_social,Charlotte Tilbury,Makeup,100,22.0,5.0,99,99,22.0,22.73,5.0,3.01,39.48,3.97,11616797.0,Strong Recommendation Segment
pdp_similar,mobile_app,direct,NUDESTIX,Makeup,41,9.0,5.0,41,41,21.95,55.56,12.2,2.59,34.54,4.3,1040740.0,Strong Recommendation Segment
email_recs,mobile_app,organic,VOLUSPA,Fragrance,69,15.0,5.0,69,69,21.74,33.33,7.25,2.7,26.75,4.22,284443.0,Strong Recommendation Segment
pdp_similar,mobile_app,organic,Bobbi Brown,Makeup,74,16.0,5.0,74,74,21.62,31.25,6.76,2.76,39.97,4.28,3037789.0,Strong Recommendation Segment
home_recs,mobile_app,influencer,SEPHORA COLLECTION,Makeup,88,19.0,5.0,82,82,21.59,26.32,5.68,2.89,18.99,4.2,3026672.0,Strong Recommendation Segment
pdp_similar,mobile_app,email,Kérastase,Hair,102,22.0,5.0,102,102,21.57,22.73,4.9,2.75,48.25,4.31,1336013.0,Strong Recommendation Segment
pdp_similar,mobile_app,paid_social,Dior,Makeup,86,18.0,5.0,85,84,20.93,27.78,5.81,2.73,39.8,4.25,9653076.0,Strong Recommendation Segment
home_recs,mobile_app,organic,Anastasia Beverly Hills,Makeup,129,27.0,5.0,126,126,20.93,18.52,3.88,2.91,29.51,4.3,16660077.0,Strong Recommendation Segment
email_recs,mobile_app,paid_search,SEPHORA COLLECTION,Makeup,149,31.0,5.0,146,146,20.81,16.13,3.36,2.46,16.63,4.19,8975648.0,Strong Recommendation Segment
pdp_similar,mobile_app,email,Too Faced,Makeup,54,11.0,5.0,54,54,20.37,45.45,9.26,2.59,32.67,4.09,5741623.0,Strong Recommendation Segment
pdp_similar,mobile_web,paid_search,Hourglass,Makeup,115,23.0,5.0,114,114,20.0,21.74,4.35,2.73,44.57,4.27,6369001.0,Strong Recommendation Segment
pdp_similar,mobile_app,paid_search,Laura Mercier,Makeup,90,18.0,5.0,90,90,20.0,27.78,5.56,2.67,34.86,4.2,7333363.0,Strong Recommendation Segment
pdp_similar,mobile_web,paid_search,Fenty Beauty by Rihanna,Makeup,123,24.0,5.0,119,118,19.51,20.83,4.07,2.76,28.48,4.05,17976842.0,Normal Recommendation Segment
pdp_similar,desktop,direct,SEPHORA COLLECTION,Skincare,67,13.0,5.0,65,65,19.4,38.46,7.46,2.6,12.31,4.07,1294252.0,Normal Recommendation Segment
pdp_similar,mobile_app,email,HUDA BEAUTY,Makeup,67,13.0,5.0,66,66,19.4,38.46,7.46,2.69,29.91,4.02,4767928.0,Normal Recommendation Segment
pdp_similar,desktop,paid_social,Peter Thomas Roth,Skincare,62,12.0,5.0,62,62,19.35,41.67,8.06,2.66,54.82,4.26,1304704.0,Normal Recommendation Segment
cart_cross_sell,mobile_app,paid_social,Murad,Skincare,31,6.0,5.0,31,31,19.35,83.33,16.13,2.65,64.13,4.28,551235.0,Normal Recommendation Segment
home_recs,mobile_app,paid_search,Dior,Makeup,109,21.0,5.0,107,107,19.27,23.81,4.59,2.8,43.46,4.07,8981358.0,Normal Recommendation Segment
pdp_similar,mobile_app,paid_search,Too Faced,Makeup,104,20.0,5.0,101,101,19.23,25.0,4.81,2.84,33.98,4.17,8551125.0,Normal Recommendation Segment
cart_cross_sell,mobile_web,paid_search,Kérastase,Hair,73,14.0,5.0,69,69,19.18,35.71,6.85,2.79,46.73,4.32,1225886.0,Normal Recommendation Segment
cart_cross_sell,mobile_app,paid_search,CLINIQUE,Skincare,94,18.0,5.0,91,91,19.15,27.78,5.32,2.89,37.39,4.11,2107115.0,Normal Recommendation Segment
email_recs,mobile_web,organic,NEST New York,Fragrance,75,14.0,5.0,73,73,18.67,35.71,6.67,2.83,54.51,4.3,550493.0,Normal Recommendation Segment
home_recs,mobile_app,organic,Moroccanoil,Hair,102,19.0,5.0,100,100,18.63,26.32,4.9,2.94,31.8,4.24,2459949.0,Normal Recommendation Segment
home_recs,desktop,direct,Anastasia Beverly Hills,Makeup,65,12.0,5.0,64,64,18.46,41.67,7.69,2.85,27.88,4.31,7787454.0,Normal Recommendation Segment
email_recs,mobile_web,organic,SEPHORA COLLECTION,Skincare,93,17.0,5.0,90,90,18.28,29.41,5.38,2.65,14.39,4.07,2463199.0,Normal Recommendation Segment
home_recs,mobile_web,paid_social,SEPHORA COLLECTION,Skincare,116,21.0,5.0,113,113,18.1,23.81,4.31,2.68,13.25,3.95,2736143.0,Normal Recommendation Segment
home_recs,mobile_app,paid_social,Urban Decay,Makeup,56,10.0,5.0,56,56,17.86,50.0,8.93,2.68,33.38,4.13,5998540.0,Normal Recommendation Segment
pdp_similar,mobile_app,paid_social,Kérastase,Hair,143,25.0,5.0,142,142,17.48,20.0,3.5,2.51,47.38,4.26,2080333.0,Normal Recommendation Segment
email_recs,mobile_app,paid_social,SEPHORA COLLECTION,Makeup,166,29.0,5.0,157,157,17.47,17.24,3.01,2.84,18.02,4.14,7703504.0,Normal Recommendation Segment
pdp_similar,mobile_web,paid_search,CLINIQUE,Skincare,144,25.0,5.0,141,141,17.36,20.0,3.47,2.84,40.2,4.07,2819268.0,Normal Recommendation Segment
pdp_similar,mobile_web,paid_social,Moroccanoil,Hair,75,13.0,5.0,72,72,17.33,38.46,6.67,2.81,34.56,4.15,2007432.0,Normal Recommendation Segment
home_recs,mobile_app,paid_social,Kérastase,Hair,134,23.0,5.0,130,130,17.16,21.74,3.73,2.82,45.14,4.23,1730766.0,Normal Recommendation Segment
home_recs,desktop,paid_search,tarte,Makeup,105,18.0,5.0,102,102,17.14,27.78,4.76,2.9,26.4,4.0,5308856.0,Normal Recommendation Segment
pdp_similar,mobile_web,paid_social,Anastasia Beverly Hills,Makeup,111,19.0,5.0,110,110,17.12,26.32,4.5,2.5,29.15,4.27,9830391.0,Normal Recommendation Segment
home_recs,desktop,organic,Jo Malone London,Fragrance,71,12.0,5.0,71,71,16.9,41.67,7.04,2.63,109.59,3.93,776593.0,Normal Recommendation Segment
pdp_similar,mobile_app,paid_social,HUDA BEAUTY,Makeup,83,14.0,5.0,82,82,16.87,35.71,6.02,2.69,33.67,4.06,5708481.0,Normal Recommendation Segment
pdp_similar,mobile_web,paid_social,MAKE UP FOR EVER,Makeup,101,17.0,5.0,94,94,16.83,29.41,4.95,3.06,34.14,4.26,4659189.0,Normal Recommendation Segment
email_recs,desktop,paid_social,Anastasia Beverly Hills,Makeup,54,9.0,5.0,53,53,16.67,55.56,9.26,2.7,27.81,4.32,7016017.0,Normal Recommendation Segment
