search_query,total_searches,zero_result_searches,zero_result_rate_pct,impressions,clicks,cart_adds,purchases,revenue,search_ctr_pct,click_to_cart_rate_pct,search_to_purchase_rate_pct,revenue_per_search,avg_clicked_rank
josie maran,358,18.0,5.03,1847.0,456.0,83.0,38.0,2210.05,24.69,18.2,10.61,6.17,2.99
sol de janeiro,357,10.0,2.8,1951.0,440.0,93.0,39.0,1692.2,22.55,21.14,10.92,4.74,3.16
ilia,357,13.0,3.64,1897.0,476.0,88.0,42.0,3774.25,25.09,18.49,11.76,10.57,3.12
rare beauty by selena gomez,356,15.0,4.21,1854.0,461.0,102.0,41.0,1417.5,24.87,22.13,11.52,3.98,3.04
yves saint laurent,355,8.0,2.25,1909.0,429.0,84.0,44.0,4856.7,22.47,19.58,12.39,13.68,3.28
belif,354,13.0,3.67,1834.0,432.0,85.0,34.0,1901.04,23.56,19.68,9.6,5.37,3.04
anastasia beverly hills,352,15.0,4.26,1863.0,466.0,92.0,41.0,1513.8,25.01,19.74,11.65,4.3,3.06
gucci,349,13.0,3.72,1874.0,470.0,82.0,35.0,3176.3,25.08,17.45,10.03,9.1,3.19
pat mcgrath labs,348,7.0,2.01,1834.0,436.0,67.0,23.0,2071.0,23.77,15.37,6.61,5.95,3.08
armani beauty,345,17.0,4.93,1783.0,411.0,59.0,21.0,3035.9,23.05,14.36,6.09,8.8,2.87
tom ford,340,11.0,3.24,1802.0,466.0,66.0,26.0,6935.15,25.86,14.16,7.65,20.4,3.06
skinfix,334,7.0,2.1,1830.0,463.0,90.0,42.0,2404.8,25.3,19.44,12.57,7.2,3.01
origins,331,11.0,3.32,1765.0,484.0,75.0,30.0,1514.8,27.42,15.5,9.06,4.58,3.13
