brand_name,total_products,impressions,clicks,cart_adds,orders,units_sold,revenue,brand_ctr_pct,brand_click_to_cart_rate_pct,brand_click_to_purchase_rate_pct,revenue_per_impression,avg_price,avg_product_rating,total_catalog_reviews,total_loves,avg_return_rate_pct,avg_stockout_rate_pct,avg_positive_review_pct,avg_negative_review_pct,avg_ranking_score,hero_products,hidden_gems,high_visibility_low_conversion_products,return_review_risk_products,stockout_revenue_risk_products,brand_action_segment
Dior,136,7942.0,2023.0,310.0,145.0,258.0,16834.48,25.47,15.32,7.17,2.12,72.79,4.22,61015.0,6230997.0,3.74,8.35,17.09,2.62,3.06,15.0,5.0,4.0,11.0,0.0,Hidden Opportunity Brand
Dr. Dennis Gross Skincare,33,9098.0,2294.0,391.0,159.0,261.0,16518.45,25.21,17.04,6.93,1.82,79.06,4.34,16135.0,890427.0,3.08,9.84,74.55,11.15,3.52,14.0,0.0,4.0,7.0,0.0,Conversion Problem Brand
La Mer,39,4146.0,984.0,117.0,49.0,81.0,15475.75,23.73,11.89,4.98,3.73,197.95,4.16,6502.0,422354.0,2.56,0.72,65.05,12.7,3.06,6.0,0.0,8.0,3.0,0.0,Conversion Problem Brand
Lancôme,81,10986.0,2510.0,373.0,158.0,238.0,15411.9,22.85,14.86,6.29,1.4,62.85,4.32,87754.0,2170627.0,3.89,20.72,29.88,3.96,3.1,14.0,0.0,7.0,6.0,1.0,Conversion Problem Brand
Charlotte Tilbury,99,11372.0,2805.0,467.0,196.0,315.0,15071.45,24.67,16.65,6.99,1.33,42.15,3.95,33347.0,7725055.0,2.0,3.18,12.51,3.46,3.09,14.0,1.0,4.0,11.0,0.0,Conversion Problem Brand
Paula's Choice,39,10787.0,2835.0,533.0,227.0,373.0,14068.05,26.28,18.8,8.01,1.3,39.0,4.41,6562.0,1206144.0,3.91,1.48,80.34,9.87,3.82,17.0,0.0,0.0,8.0,0.0,Customer Experience Risk Brand
Clarins,44,8707.0,1978.0,312.0,129.0,209.0,13970.6,22.72,15.77,6.52,1.6,68.32,4.18,7309.0,366526.0,5.01,9.97,50.96,10.61,3.09,9.0,1.0,7.0,8.0,0.0,Conversion Problem Brand
OLEHENRIKSEN,39,10836.0,2704.0,480.0,207.0,328.0,13782.55,24.95,17.75,7.66,1.27,42.56,4.31,27702.0,1419948.0,4.93,1.33,64.99,8.78,3.66,19.0,0.0,0.0,8.0,0.0,Customer Experience Risk Brand
Tatcha,52,7520.0,1951.0,373.0,156.0,258.0,13642.6,25.94,19.12,8.0,1.81,57.46,4.26,57075.0,3713079.0,6.06,7.33,61.33,9.32,3.37,15.0,0.0,1.0,8.0,0.0,Customer Experience Risk Brand
TOM FORD,100,4179.0,1056.0,135.0,60.0,96.0,12956.65,25.27,12.78,5.68,3.1,158.45,4.22,48648.0,1980258.0,3.33,11.82,0.0,0.0,3.03,1.0,3.0,1.0,5.0,0.0,Hidden Opportunity Brand
SEPHORA COLLECTION,352,27485.0,6742.0,1411.0,650.0,1015.0,12834.97,24.53,20.93,9.64,0.47,16.38,4.08,120986.0,12530142.0,1.64,18.09,20.05,4.73,2.9,27.0,33.0,4.0,30.0,0.0,Hidden Opportunity Brand
Drunk Elephant,56,9828.0,2284.0,394.0,161.0,270.0,12225.55,23.24,17.25,7.05,1.24,40.16,4.08,48530.0,3905253.0,6.34,11.91,51.75,10.23,3.2,19.0,0.0,7.0,7.0,0.0,Conversion Problem Brand
goop,32,7045.0,1657.0,268.0,112.0,189.0,12147.25,23.52,16.17,6.76,1.72,60.91,3.92,14634.0,126948.0,0.5,10.05,51.66,9.93,2.91,6.0,0.0,3.0,6.0,0.0,Conversion Problem Brand
Dr. Barbara Sturm,43,5197.0,1236.0,196.0,54.0,91.0,11727.25,23.78,15.86,4.37,2.26,174.88,4.01,6037.0,146847.0,2.59,5.47,64.7,16.76,2.76,2.0,1.0,10.0,11.0,0.0,Conversion Problem Brand
Farmacy,30,8442.0,2229.0,438.0,189.0,320.0,11551.5,26.4,19.65,8.48,1.37,39.33,4.42,34756.0,1529090.0,3.19,4.89,65.28,7.09,3.82,15.0,0.0,0.0,2.0,1.0,Normal Brand
Dr. Brandt Skincare,31,7789.0,1918.0,305.0,113.0,184.0,10596.35,24.62,15.9,5.89,1.36,70.77,4.03,7850.0,317273.0,5.43,7.37,65.37,14.55,2.96,7.0,0.0,2.0,8.0,0.0,Customer Experience Risk Brand
Biossance,25,7049.0,1728.0,307.0,134.0,224.0,10408.55,24.51,17.77,7.75,1.48,44.48,4.14,12526.0,1131608.0,10.1,5.09,69.93,13.53,3.44,14.0,0.0,3.0,4.0,0.0,Conversion Problem Brand
TULA Skincare,32,8606.0,2049.0,312.0,132.0,223.0,10075.8,23.81,15.23,6.44,1.17,46.84,4.18,4469.0,175327.0,4.89,4.1,73.75,7.09,3.12,9.0,0.0,3.0,5.0,0.0,Conversion Problem Brand
Kérastase,108,6723.0,1696.0,276.0,141.0,223.0,9989.0,25.23,16.27,8.31,1.49,47.35,4.25,14584.0,1360448.0,3.01,3.61,0.0,0.0,3.25,7.0,6.0,1.0,4.0,0.0,Hidden Opportunity Brand
Origins,40,9271.0,2450.0,436.0,172.0,285.0,9981.1,26.43,17.8,7.02,1.08,41.18,4.25,29170.0,1253868.0,5.78,1.03,76.84,11.15,3.56,14.0,0.0,5.0,3.0,0.0,Conversion Problem Brand
First Aid Beauty,42,9524.0,2432.0,454.0,197.0,304.0,9933.4,25.54,18.67,8.1,1.04,31.24,4.27,29233.0,1871404.0,6.95,5.58,58.5,8.62,3.5,18.0,0.0,3.0,8.0,0.0,Conversion Problem Brand
LANEIGE,27,9018.0,2286.0,434.0,193.0,313.0,9916.8,25.35,18.99,8.44,1.1,31.74,4.3,28027.0,2564259.0,1.38,4.84,78.74,10.96,3.61,14.0,0.0,1.0,1.0,1.0,Normal Brand
Hourglass,87,5837.0,1426.0,247.0,110.0,174.0,9479.45,24.43,17.32,7.71,1.62,51.75,4.22,57941.0,3851902.0,3.54,5.62,9.61,0.43,3.22,9.0,2.0,4.0,5.0,1.0,Conversion Problem Brand
Dr. Jart+,42,8842.0,2198.0,429.0,183.0,281.0,9247.65,24.86,19.52,8.33,1.05,26.64,4.22,24435.0,1215846.0,3.28,8.06,76.81,10.17,3.25,15.0,0.0,4.0,8.0,0.0,Conversion Problem Brand
SK-II,16,2184.0,566.0,80.0,34.0,65.0,9192.0,25.92,14.13,6.01,4.21,186.44,4.19,10748.0,349787.0,2.56,0.34,79.3,10.7,3.26,3.0,0.0,3.0,1.0,0.0,Conversion Problem Brand
IT Cosmetics,47,8309.0,2110.0,417.0,165.0,269.0,8842.42,25.39,19.76,7.82,1.06,33.96,4.14,21037.0,1237385.0,1.43,3.67,30.6,4.61,3.12,13.0,1.0,3.0,3.0,0.0,Conversion Problem Brand
Skinfix,27,6691.0,1748.0,325.0,147.0,228.0,8641.65,26.12,18.59,8.41,1.29,38.26,4.38,14076.0,828603.0,3.39,1.14,58.37,6.24,3.69,15.0,0.0,0.0,2.0,0.0,Normal Brand
Yves Saint Laurent,65,4514.0,1107.0,189.0,88.0,140.0,8550.6,24.52,17.07,7.95,1.89,79.25,4.48,49762.0,2753307.0,2.69,24.0,0.0,0.0,3.26,6.0,0.0,3.0,2.0,0.0,Conversion Problem Brand
StriVectin,25,6496.0,1593.0,226.0,85.0,130.0,8537.8,24.52,14.19,5.34,1.31,68.12,4.64,1245.0,99588.0,4.38,4.66,77.65,3.88,3.56,5.0,0.0,3.0,4.0,0.0,Conversion Problem Brand
Josie Maran,23,5864.0,1479.0,271.0,124.0,201.0,8407.25,25.22,18.32,8.38,1.43,38.78,4.32,23369.0,662168.0,2.96,5.72,47.27,5.09,3.53,13.0,0.0,2.0,2.0,0.0,Normal Brand
Tata Harper,32,4339.0,994.0,143.0,56.0,100.0,8185.05,22.91,14.39,5.63,1.89,107.56,4.12,4830.0,331699.0,7.81,3.8,64.09,14.0,3.13,10.0,0.0,7.0,4.0,0.0,Conversion Problem Brand
Herbivore,33,5551.0,1469.0,271.0,112.0,178.0,8180.9,26.46,18.45,7.62,1.47,45.27,4.18,10310.0,932107.0,1.43,1.03,67.96,13.64,3.48,9.0,1.0,1.0,4.0,0.0,Customer Experience Risk Brand
Algenist,33,5180.0,1279.0,191.0,76.0,117.0,8116.95,24.69,14.93,5.94,1.57,71.33,4.15,8779.0,391484.0,1.64,7.18,71.04,13.17,3.13,7.0,0.0,5.0,4.0,0.0,Conversion Problem Brand
Estée Lauder,47,5635.0,1380.0,228.0,93.0,133.0,8022.15,24.49,16.52,6.74,1.42,63.47,4.24,26710.0,1092968.0,1.01,5.43,56.74,6.69,3.23,14.0,0.0,9.0,3.0,0.0,Conversion Problem Brand
tarte,131,10876.0,2342.0,392.0,181.0,282.0,7931.4,21.53,16.74,7.73,0.73,24.95,3.97,67529.0,4995414.0,0.85,29.82,12.98,2.96,2.71,12.0,2.0,12.0,4.0,0.0,Conversion Problem Brand
Sulwhasoo,27,2461.0,669.0,115.0,49.0,77.0,7830.45,27.18,17.19,7.32,3.18,95.04,4.5,6252.0,201511.0,0.0,0.71,68.94,3.32,3.44,3.0,4.0,1.0,1.0,0.0,Hidden Opportunity Brand
Bobbi Brown,55,5570.0,1360.0,224.0,93.0,150.0,7698.55,24.42,16.47,6.84,1.38,46.69,4.23,32646.0,1966682.0,3.29,8.47,15.37,3.07,3.16,10.0,0.0,6.0,5.0,0.0,Conversion Problem Brand
Oribe,94,5301.0,1297.0,244.0,106.0,167.0,7618.05,24.47,18.81,8.17,1.44,46.28,4.18,11688.0,705927.0,2.46,2.71,0.0,0.0,3.12,10.0,2.0,2.0,2.0,0.0,Normal Brand
Fenty Skin,30,9472.0,2010.0,290.0,137.0,212.0,7133.55,21.22,14.43,6.82,0.75,31.27,4.22,5657.0,867135.0,9.58,13.94,53.75,7.61,3.29,11.0,2.0,2.0,3.0,2.0,Customer Experience Risk Brand
The INKEY List,47,13956.0,3542.0,776.0,335.0,552.0,7053.44,25.38,21.91,9.46,0.51,13.55,4.08,26229.0,2342059.0,3.41,3.64,66.12,10.52,3.46,21.0,0.0,1.0,8.0,0.0,Customer Experience Risk Brand
Maison Margiela,36,2784.0,718.0,109.0,42.0,71.0,7034.5,25.79,15.18,5.85,2.53,94.61,4.17,16734.0,999206.0,2.31,3.43,0.0,0.0,3.31,13.0,0.0,6.0,2.0,0.0,Conversion Problem Brand
Benefit Cosmetics,74,7606.0,1944.0,372.0,163.0,271.0,6931.45,25.56,19.14,8.38,0.91,24.57,4.17,112163.0,3816395.0,3.27,6.62,7.64,0.14,3.37,22.0,0.0,10.0,2.0,0.0,Conversion Problem Brand
Dr. Zenovia Skincare,13,4511.0,1152.0,214.0,95.0,165.0,6859.1,25.54,18.58,8.25,1.52,50.54,4.45,3313.0,54655.0,3.24,1.31,88.61,3.34,3.57,7.0,0.0,0.0,2.0,0.0,Normal Brand
Augustinus Bader,19,2537.0,647.0,94.0,32.0,46.0,6790.4,25.5,14.53,4.95,2.68,173.37,4.21,2729.0,74778.0,7.02,0.48,54.53,6.88,3.36,3.0,1.0,2.0,2.0,0.0,Normal Brand
Drybar,72,4513.0,1092.0,178.0,82.0,132.0,6709.7,24.2,16.3,7.51,1.49,66.38,4.01,12905.0,788426.0,2.57,3.66,0.0,0.0,2.98,8.0,0.0,3.0,2.0,0.0,Conversion Problem Brand
alpyn beauty,13,4557.0,1132.0,229.0,90.0,142.0,6476.85,24.84,20.23,7.95,1.42,44.85,4.64,2466.0,138131.0,4.07,8.22,83.54,4.51,3.78,5.0,2.0,1.0,2.0,0.0,Normal Brand
Armani Beauty,56,3940.0,921.0,135.0,54.0,95.0,6439.15,23.38,14.66,5.86,1.63,81.77,4.5,31331.0,1947268.0,2.83,22.21,0.0,0.0,3.09,4.0,0.0,5.0,1.0,0.0,Conversion Problem Brand
Smashbox,46,5417.0,1370.0,281.0,140.0,223.0,6375.35,25.29,20.51,10.22,1.18,29.96,4.22,42633.0,1646330.0,2.27,3.5,0.0,0.0,3.4,19.0,0.0,4.0,0.0,0.0,Conversion Problem Brand
Versace,39,2820.0,690.0,116.0,53.0,96.0,6333.3,24.47,16.81,7.68,2.25,68.77,4.4,11357.0,735379.0,3.21,11.08,0.0,0.0,3.35,15.0,0.0,5.0,1.0,0.0,Conversion Problem Brand
Laura Mercier,55,6032.0,1464.0,254.0,100.0,168.0,6105.25,24.27,17.35,6.83,1.01,37.44,4.13,59396.0,3384861.0,3.44,11.98,0.0,0.0,3.06,12.0,0.0,12.0,2.0,0.0,Conversion Problem Brand
PAT McGRATH LABS,50,3981.0,936.0,152.0,56.0,98.0,6000.2,23.51,16.24,5.98,1.51,56.34,4.23,13379.0,1926420.0,0.0,7.14,0.0,0.0,3.03,8.0,0.0,4.0,0.0,0.0,Conversion Problem Brand
Moroccanoil,91,5744.0,1448.0,264.0,128.0,206.0,5898.3,25.21,18.23,8.84,1.03,33.57,4.09,37244.0,1765009.0,5.31,4.29,0.0,0.0,3.15,11.0,0.0,3.0,5.0,0.0,Conversion Problem Brand
MILK MAKEUP,49,6078.0,1564.0,312.0,129.0,205.0,5845.0,25.73,19.95,8.25,0.96,27.88,3.97,57062.0,2891914.0,7.29,3.56,13.03,2.01,3.33,18.0,0.0,5.0,6.0,0.0,Conversion Problem Brand
Saint Jane Beauty,10,2534.0,678.0,114.0,48.0,87.0,5787.6,26.76,16.81,7.08,2.28,62.8,4.6,1149.0,65583.0,1.25,0.99,62.18,4.31,3.79,4.0,0.0,0.0,0.0,0.0,Normal Brand
REN Clean Skincare,25,3584.0,902.0,161.0,75.0,118.0,5719.25,25.17,17.85,8.31,1.6,47.72,4.29,9988.0,445987.0,0.67,4.88,69.83,7.97,3.3,9.0,3.0,0.0,1.0,0.0,Hidden Opportunity Brand
Givenchy,38,2982.0,736.0,132.0,54.0,96.0,5670.9,24.68,17.93,7.34,1.9,68.66,4.39,14519.0,849396.0,4.76,8.81,0.0,0.0,3.37,14.0,0.0,8.0,2.0,0.0,Conversion Problem Brand
Summer Fridays,16,2913.0,745.0,153.0,74.0,116.0,5620.65,25.58,20.54,9.93,1.93,42.25,4.26,15623.0,1172300.0,2.08,7.72,66.0,10.01,3.25,6.0,0.0,3.0,1.0,0.0,Conversion Problem Brand
Nécessaire,17,4310.0,1110.0,248.0,109.0,182.0,5614.05,25.75,22.34,9.82,1.3,32.88,4.38,6336.0,536529.0,1.6,1.27,10.72,0.53,3.45,9.0,0.0,1.0,1.0,0.0,Normal Brand
FaceGym,19,3427.0,850.0,130.0,53.0,81.0,5516.8,24.8,15.29,6.24,1.61,80.58,4.59,1012.0,44512.0,1.75,5.7,78.48,2.74,3.47,6.0,1.0,1.0,1.0,1.0,Normal Brand
Gucci,58,3674.0,910.0,148.0,64.0,96.0,5442.1,24.77,16.26,7.03,1.48,75.36,4.16,19170.0,1235024.0,2.3,7.97,1.61,0.03,3.13,6.0,0.0,6.0,2.0,0.0,Conversion Problem Brand
COOLA,19,6152.0,1499.0,271.0,98.0,153.0,5390.0,24.37,18.08,6.54,0.88,36.95,4.06,2271.0,177623.0,5.09,11.06,70.5,16.95,3.29,8.0,0.0,1.0,2.0,0.0,Normal Brand
Dr. Lara Devgan Scientific Beauty,10,1740.0,445.0,55.0,21.0,34.0,5228.25,25.57,12.36,4.72,3.0,132.5,3.83,1854.0,46429.0,0.0,0.55,44.54,3.07,3.32,1.0,0.0,0.0,0.0,0.0,Normal Brand
Kosas,23,4829.0,1295.0,256.0,120.0,195.0,5123.55,26.82,19.77,9.27,1.06,27.48,3.96,13064.0,1845104.0,1.87,5.31,7.33,0.82,3.48,12.0,0.0,2.0,1.0,0.0,Normal Brand
Too Faced,62,5418.0,1308.0,251.0,111.0,173.0,5045.55,24.14,19.19,8.49,0.93,30.92,4.08,100891.0,4865557.0,5.07,14.34,0.0,0.0,3.15,13.0,0.0,3.0,4.0,0.0,Conversion Problem Brand
HUDA BEAUTY,59,4770.0,1210.0,239.0,98.0,157.0,5030.6,25.37,19.75,8.1,1.05,30.78,4.04,27563.0,3356766.0,4.22,5.89,0.0,0.0,3.23,12.0,0.0,3.0,5.0,0.0,Conversion Problem Brand
Urban Decay,59,4531.0,1072.0,212.0,100.0,176.0,5021.5,23.66,19.78,9.33,1.11,29.2,4.17,104549.0,5730058.0,6.09,17.88,0.0,0.0,3.11,16.0,0.0,6.0,4.0,0.0,Conversion Problem Brand
Fenty Beauty by Rihanna,82,5041.0,1183.0,214.0,96.0,168.0,4875.65,23.47,18.09,8.11,0.97,29.9,4.03,77185.0,9369443.0,4.47,14.86,0.0,0.0,3.04,9.0,0.0,7.0,5.0,0.0,Conversion Problem Brand
ROSE INC,31,3816.0,973.0,173.0,76.0,124.0,4854.6,25.5,17.78,7.81,1.27,33.32,4.42,5175.0,310409.0,2.96,0.72,21.91,2.29,3.35,8.0,4.0,1.0,2.0,0.0,Hidden Opportunity Brand
JLo Beauty,11,3024.0,773.0,141.0,54.0,89.0,4814.3,25.56,18.24,6.99,1.59,57.91,4.13,3400.0,77467.0,6.49,0.87,57.05,7.0,3.31,3.0,0.0,0.0,4.0,0.0,Customer Experience Risk Brand
Briogeo,56,4472.0,1163.0,225.0,95.0,155.0,4808.6,26.01,19.35,8.17,1.08,33.14,4.05,24001.0,1731918.0,5.42,3.37,0.0,0.0,3.27,12.0,0.0,5.0,5.0,0.0,Conversion Problem Brand
Viktor&Rolf,21,2638.0,680.0,100.0,39.0,57.0,4732.45,25.78,14.71,5.74,1.79,105.76,4.49,21082.0,569451.0,10.32,6.0,0.0,0.0,3.62,5.0,0.0,4.0,5.0,0.0,Conversion Problem Brand
NARS,67,5766.0,1370.0,228.0,99.0,148.0,4635.2,23.76,16.64,7.23,0.8,31.25,4.07,80900.0,7442525.0,2.34,5.52,0.0,0.0,3.07,12.0,0.0,5.0,2.0,0.0,Conversion Problem Brand
GUERLAIN,41,2532.0,613.0,80.0,35.0,50.0,4481.6,24.21,13.05,5.71,1.77,99.56,4.11,7320.0,529564.0,1.44,8.4,18.18,3.81,2.86,3.0,4.0,2.0,3.0,0.0,Hidden Opportunity Brand
BeautyBio,33,2866.0,696.0,102.0,36.0,59.0,4455.7,24.28,14.66,5.17,1.55,86.94,4.09,1497.0,193225.0,0.51,0.86,64.16,16.57,3.05,3.0,4.0,1.0,7.0,0.0,Hidden Opportunity Brand
ILIA,31,3845.0,964.0,162.0,72.0,110.0,4348.8,25.07,16.8,7.47,1.13,32.77,4.02,22071.0,2037365.0,0.92,7.89,4.75,0.83,3.03,6.0,0.0,1.0,1.0,0.0,Normal Brand
Peace Out,15,4639.0,1196.0,232.0,106.0,166.0,4321.15,25.78,19.4,8.86,0.93,26.93,4.26,10964.0,707864.0,0.97,1.13,81.29,11.79,3.53,10.0,0.0,0.0,1.0,0.0,Normal Brand
Anastasia Beverly Hills,95,4853.0,1279.0,243.0,110.0,175.0,4245.5,26.35,19.0,8.6,0.87,28.27,4.23,106085.0,7941142.0,3.04,8.56,0.94,0.08,3.24,3.0,1.0,0.0,5.0,0.0,Customer Experience Risk Brand
Bumble and bumble,110,4892.0,1265.0,243.0,97.0,144.0,4222.7,25.86,19.21,7.67,0.86,29.68,4.07,34402.0,1451015.0,4.24,1.93,0.0,0.0,3.14,1.0,4.0,1.0,7.0,0.0,Hidden Opportunity Brand
KORA Organics,19,2302.0,568.0,105.0,46.0,73.0,4158.4,24.67,18.49,8.1,1.81,52.63,4.14,7688.0,278084.0,1.64,0.72,65.45,8.56,3.05,5.0,0.0,0.0,2.0,0.0,Normal Brand
Jack Black,48,4804.0,1191.0,222.0,98.0,149.0,4043.85,24.79,18.64,8.23,0.84,27.92,4.38,7576.0,365704.0,2.0,0.9,12.2,2.2,3.28,12.0,8.0,3.0,2.0,0.0,Hidden Opportunity Brand
KORRES,10,2429.0,642.0,126.0,57.0,88.0,4020.6,26.43,19.63,8.88,1.66,43.3,4.34,13748.0,115708.0,20.0,0.79,82.89,8.68,3.25,3.0,0.0,0.0,2.0,0.0,Normal Brand
Vegamour,23,2338.0,619.0,111.0,43.0,62.0,3975.4,26.48,17.93,6.95,1.7,59.83,4.35,8772.0,196812.0,12.32,0.79,0.0,0.0,3.38,5.0,2.0,3.0,1.0,0.0,Conversion Problem Brand
Shani Darden Skin Care,11,1426.0,386.0,70.0,35.0,61.0,3915.0,27.07,18.13,9.07,2.75,261.27,4.37,3359.0,143675.0,11.67,1.77,77.63,8.99,3.55,4.0,1.0,0.0,3.0,0.0,Customer Experience Risk Brand
The Ordinary,54,6800.0,1728.0,377.0,192.0,306.0,3875.78,25.41,21.82,11.11,0.57,12.43,4.11,42222.0,7449373.0,2.58,10.57,64.86,11.9,3.29,16.0,0.0,2.0,3.0,0.0,Customer Experience Risk Brand
MAKE UP FOR EVER,74,4411.0,1102.0,187.0,77.0,136.0,3874.8,24.98,16.97,6.99,0.88,33.26,4.27,32961.0,2605352.0,4.05,7.81,0.0,0.0,3.24,2.0,0.0,2.0,5.0,0.0,Customer Experience Risk Brand
Marc Jacobs Fragrances,29,3050.0,660.0,88.0,29.0,43.0,3851.65,21.64,13.33,4.39,1.26,79.86,4.43,17019.0,631698.0,5.46,28.48,0.0,0.0,2.99,5.0,0.0,12.0,1.0,0.0,Conversion Problem Brand
OUAI,55,3774.0,971.0,175.0,74.0,113.0,3843.3,25.73,18.02,7.62,1.02,34.67,4.1,23653.0,1689658.0,8.79,2.96,0.0,0.0,3.15,7.0,0.0,6.0,4.0,0.0,Conversion Problem Brand
Virtue,52,2788.0,715.0,143.0,59.0,89.0,3835.45,25.65,20.0,8.25,1.38,37.62,4.07,3585.0,187960.0,1.6,0.96,0.0,0.0,3.02,10.0,5.0,3.0,2.0,0.0,Hidden Opportunity Brand
Pureology,44,3211.0,819.0,147.0,68.0,109.0,3753.35,25.51,17.95,8.3,1.17,37.86,4.4,35177.0,342113.0,1.96,10.28,0.0,0.0,3.28,9.0,0.0,5.0,2.0,0.0,Conversion Problem Brand
innisfree,18,5176.0,1329.0,233.0,101.0,161.0,3701.35,25.68,17.53,7.6,0.72,21.28,4.26,4214.0,432067.0,2.81,1.23,80.17,13.03,3.56,6.0,1.0,0.0,4.0,0.0,Customer Experience Risk Brand
Mario Badescu,42,6527.0,1488.0,258.0,105.0,170.0,3658.4,22.8,17.34,7.06,0.56,18.48,3.95,2181.0,408969.0,4.25,12.4,63.88,19.79,2.94,5.0,3.0,5.0,10.0,0.0,Hidden Opportunity Brand
belif,14,3150.0,772.0,147.0,71.0,108.0,3598.95,24.51,19.04,9.2,1.14,35.57,4.35,23575.0,687051.0,2.73,9.16,72.08,4.55,3.41,6.0,2.0,0.0,1.0,0.0,Normal Brand
Moon Juice,17,3458.0,839.0,149.0,62.0,102.0,3475.2,24.26,17.76,7.39,1.0,45.18,4.15,2463.0,149698.0,2.32,6.43,64.6,14.81,2.77,3.0,1.0,2.0,2.0,0.0,Normal Brand
NEST New York,115,1975.0,511.0,81.0,40.0,62.0,3443.5,25.87,15.85,7.83,1.74,50.91,4.26,7117.0,577461.0,1.74,9.33,0.0,0.0,2.86,0.0,19.0,0.0,2.0,0.0,Hidden Opportunity Brand
Living Proof,49,3117.0,796.0,151.0,73.0,108.0,3442.55,25.54,18.97,9.17,1.1,32.86,4.32,19555.0,734515.0,1.19,3.31,0.0,0.0,3.36,8.0,0.0,5.0,0.0,0.0,Conversion Problem Brand
MARA,10,1396.0,347.0,52.0,28.0,44.0,3402.6,24.86,14.99,8.07,2.44,65.8,4.82,807.0,21680.0,0.0,1.1,95.4,1.38,3.33,4.0,0.0,0.0,0.0,0.0,Normal Brand
FOREO,19,1326.0,336.0,46.0,11.0,17.0,3283.7,25.34,13.69,3.27,2.48,145.89,4.0,1161.0,148222.0,0.0,5.77,72.65,16.64,2.86,1.0,2.0,0.0,4.0,0.0,Customer Experience Risk Brand
bareMinerals,22,3071.0,765.0,139.0,66.0,105.0,3272.45,24.91,18.17,8.63,1.07,27.82,4.22,23526.0,749945.0,5.81,1.61,4.06,0.09,3.48,12.0,0.0,1.0,1.0,0.0,Normal Brand
