campaign_id,campaign_name,traffic_source,campaign_objective,start_date,end_date,daily_budget,ad_spend,ad_impressions,ad_clicks,sessions,session_customers,orders,purchasing_customers,revenue,avg_order_value,ad_ctr_pct,cpc,cpa,cac,roas,campaign_conversion_rate_pct,revenue_per_session,campaign_action_segment
cmp_0005,Sephora Campaign 0005,paid_social,acquisition,2023-10-12 03:32:17,2023-10-26 03:32:17,414.58,6039.96,504524.0,9687.0,4141,4119,201,201,14452.87,71.9,1.92,0.62,30.05,30.05,2.39,4.85,3.49,Efficient Campaign
cmp_0001,Sephora Campaign 0001,paid_search,seasonal_sale,2023-07-29 21:28:26,2023-09-26 21:28:26,1462.8,86614.72,7349847.0,249450.0,4071,4054,201,201,14438.2,71.83,3.39,0.35,430.92,430.92,0.17,4.94,3.55,Low ROAS Campaign
cmp_0013,Sephora Campaign 0013,paid_search,promotion,2023-03-29 23:13:29,2023-05-02 23:13:29,974.74,33969.28,2958488.0,97051.0,4002,3980,187,187,14091.96,75.36,3.28,0.35,181.65,181.65,0.41,4.67,3.52,Low ROAS Campaign
cmp_0031,Sephora Campaign 0031,paid_social,acquisition,2023-06-12 19:05:14,2023-07-13 19:05:14,1214.07,38733.65,3401033.0,61906.0,4107,4085,189,189,14080.51,74.5,1.82,0.63,204.94,204.94,0.36,4.6,3.43,Low ROAS Campaign
cmp_0021,Sephora Campaign 0021,paid_search,seasonal_sale,2023-02-20 07:01:30,2023-03-06 07:01:30,1552.67,21746.93,1872016.0,69203.0,4018,4002,196,196,14078.4,71.83,3.7,0.31,110.95,110.95,0.65,4.88,3.5,Low ROAS Campaign
cmp_0006,Sephora Campaign 0006,paid_search,acquisition,2023-07-11 11:54:18,2023-08-06 11:54:18,1192.94,28491.24,2446937.0,88782.0,3991,3978,192,192,14046.69,73.16,3.63,0.32,148.39,148.39,0.49,4.81,3.52,Low ROAS Campaign
cmp_0009,Sephora Campaign 0009,email,acquisition,2023-05-19 22:52:10,2023-06-13 22:52:10,353.55,8980.16,720281.0,41415.0,3781,3766,175,175,13874.3,79.28,5.75,0.22,51.32,51.32,1.54,4.63,3.67,Low ROAS Campaign
cmp_0061,Sephora Campaign 0061,paid_social,new_launch,2023-07-09 10:47:28,2023-08-04 10:47:28,1556.13,40142.2,3196822.0,54845.0,4209,4190,167,167,13830.95,82.82,1.72,0.73,240.37,240.37,0.34,3.97,3.29,Low ROAS Campaign
cmp_0025,Sephora Campaign 0025,paid_social,acquisition,2023-09-14 08:54:03,2023-10-29 08:54:03,687.34,30940.22,2537107.0,44136.0,4136,4110,184,184,13629.21,74.07,1.74,0.7,168.15,168.15,0.44,4.45,3.3,Low ROAS Campaign
cmp_0030,Sephora Campaign 0030,paid_search,acquisition,2023-09-25 11:20:14,2023-12-05 11:20:14,574.17,40654.91,3518122.0,112648.0,3944,3927,186,186,13403.14,72.06,3.2,0.36,218.57,218.57,0.33,4.72,3.4,Low ROAS Campaign
cmp_0048,Sephora Campaign 0048,paid_search,promotion,2023-09-12 05:37:12,2023-10-25 05:37:12,1044.45,44923.4,3682380.0,132175.0,3941,3927,198,198,13402.49,67.69,3.59,0.34,226.89,226.89,0.3,5.02,3.4,Low ROAS Campaign
cmp_0010,Sephora Campaign 0010,paid_search,promotion,2023-01-16 23:35:56,2023-03-12 23:35:56,1114.97,62861.28,5245045.0,186285.0,4003,3985,189,189,13240.29,70.05,3.55,0.34,332.6,332.6,0.21,4.72,3.31,Low ROAS Campaign
cmp_0022,Sephora Campaign 0022,paid_search,promotion,2023-01-16 10:37:51,2023-03-24 10:37:51,992.33,66436.97,6022279.0,218875.0,3966,3952,189,189,13214.37,69.92,3.63,0.3,351.52,351.52,0.2,4.77,3.33,Low ROAS Campaign
cmp_0040,Sephora Campaign 0040,paid_search,seasonal_sale,2023-01-18 11:42:08,2023-03-27 11:42:08,2662.62,184484.98,15440813.0,524385.0,3990,3969,171,171,13156.78,76.94,3.4,0.35,1078.86,1078.86,0.07,4.29,3.3,Low ROAS Campaign
cmp_0018,Sephora Campaign 0018,email,promotion,2023-09-21 12:42:26,2023-10-20 12:42:26,1153.01,33554.67,2951102.0,154366.0,3738,3725,165,165,13071.56,79.22,5.23,0.22,203.36,203.36,0.39,4.41,3.5,Low ROAS Campaign
cmp_0012,Sephora Campaign 0012,paid_social,seasonal_sale,2023-02-03 14:14:53,2023-02-26 14:14:53,709.11,15479.98,1353906.0,25480.0,4217,4197,168,168,13058.24,77.73,1.88,0.61,92.14,92.14,0.84,3.98,3.1,Low ROAS Campaign
cmp_0027,Sephora Campaign 0027,paid_search,seasonal_sale,2023-05-22 16:33:16,2023-07-03 16:33:16,1932.74,81745.42,6978436.0,244642.0,4091,4063,179,178,12976.91,72.5,3.51,0.33,456.68,459.24,0.16,4.38,3.17,Low ROAS Campaign
cmp_0070,Sephora Campaign 0070,paid_social,seasonal_sale,2023-09-05 00:57:42,2023-10-10 00:57:42,1795.86,64986.31,5605650.0,102108.0,4192,4171,190,190,12937.61,68.09,1.82,0.64,342.03,342.03,0.2,4.53,3.09,Low ROAS Campaign
cmp_0041,Sephora Campaign 0041,paid_social,retention,2023-04-29 15:44:58,2023-06-01 15:44:58,881.68,30427.3,2608300.0,50175.0,4120,4108,205,205,12843.32,62.65,1.92,0.61,148.43,148.43,0.42,4.98,3.12,Low ROAS Campaign
cmp_0037,Sephora Campaign 0037,paid_search,acquisition,2023-05-07 05:30:08,2023-07-09 05:30:08,622.12,38644.68,3134782.0,111337.0,4072,4056,183,183,12815.45,70.03,3.55,0.35,211.17,211.17,0.33,4.49,3.15,Low ROAS Campaign
cmp_0042,Sephora Campaign 0042,email,promotion,2023-08-07 14:50:43,2023-09-29 14:50:43,359.58,18887.99,1635021.0,85090.0,3698,3682,168,168,12752.16,75.91,5.2,0.22,112.43,112.43,0.68,4.54,3.45,Low ROAS Campaign
cmp_0050,Sephora Campaign 0050,paid_search,promotion,2023-09-23 02:50:48,2023-11-02 02:50:48,675.34,26771.08,2221191.0,77050.0,4029,4015,210,210,12682.17,60.39,3.47,0.35,127.48,127.48,0.47,5.21,3.15,Low ROAS Campaign
cmp_0052,Sephora Campaign 0052,email,seasonal_sale,2023-08-20 17:16:16,2023-11-02 17:16:16,671.59,46865.42,3989485.0,212264.0,3764,3747,181,181,12660.48,69.95,5.32,0.22,258.92,258.92,0.27,4.81,3.36,Low ROAS Campaign
cmp_0062,Sephora Campaign 0062,email,new_launch,2023-02-17 07:24:14,2023-04-24 07:24:14,1047.45,66145.77,5734439.0,330544.0,3606,3587,170,170,12644.09,74.38,5.76,0.2,389.09,389.09,0.19,4.71,3.51,Low ROAS Campaign
cmp_0028,Sephora Campaign 0028,paid_search,acquisition,2023-03-07 23:16:01,2023-05-12 23:16:01,679.35,44218.1,3674548.0,128157.0,4034,4012,164,164,12521.01,76.35,3.49,0.35,269.62,269.62,0.28,4.07,3.1,Low ROAS Campaign
cmp_0046,Sephora Campaign 0046,email,seasonal_sale,2023-10-02 10:37:30,2023-10-26 10:37:30,351.39,9067.64,783373.0,43490.0,3657,3638,164,164,12376.47,75.47,5.55,0.21,55.29,55.29,1.36,4.48,3.38,Low ROAS Campaign
cmp_0073,Sephora Campaign 0073,email,promotion,2023-08-15 15:12:00,2023-09-06 15:12:00,398.05,8748.98,710734.0,36491.0,3776,3762,177,177,12235.11,69.12,5.13,0.24,49.43,49.43,1.4,4.69,3.24,Low ROAS Campaign
cmp_0007,Sephora Campaign 0007,paid_social,seasonal_sale,2023-04-27 01:13:37,2023-05-12 01:13:37,540.19,7881.55,624843.0,12228.0,4079,4055,187,187,12203.17,65.26,1.96,0.64,42.15,42.15,1.55,4.58,2.99,Low ROAS Campaign
cmp_0053,Sephora Campaign 0053,email,retention,2023-04-22 12:01:41,2023-05-10 12:01:41,584.18,10576.77,950006.0,55172.0,3634,3623,167,167,11927.58,71.42,5.81,0.19,63.33,63.33,1.13,4.6,3.28,Low ROAS Campaign
cmp_0020,Sephora Campaign 0020,paid_search,new_launch,2023-10-23 09:29:56,2023-12-07 09:29:56,1426.79,62255.42,5338798.0,194377.0,4044,4024,177,177,11764.4,66.47,3.64,0.32,351.73,351.73,0.19,4.38,2.91,Low ROAS Campaign
cmp_0004,Sephora Campaign 0004,paid_search,acquisition,2023-04-08 07:48:55,2023-06-09 07:48:55,3009.44,184552.45,15860888.0,564380.0,3983,3966,165,165,11415.7,69.19,3.56,0.33,1118.5,1118.5,0.06,4.14,2.87,Low ROAS Campaign
cmp_0063,Sephora Campaign 0063,email,seasonal_sale,2023-09-24 11:55:26,2023-11-22 11:55:26,812.49,48353.13,3907077.0,205825.0,3684,3670,168,168,11329.94,67.44,5.27,0.23,287.82,287.82,0.23,4.56,3.08,Low ROAS Campaign
cmp_0051,Sephora Campaign 0051,paid_social,acquisition,2023-03-05 21:12:40,2023-03-30 21:12:40,936.63,22029.39,1774705.0,32577.0,4296,4275,174,174,11210.68,64.43,1.84,0.68,126.61,126.61,0.51,4.05,2.61,Low ROAS Campaign
cmp_0079,Sephora Campaign 0079,email,seasonal_sale,2023-06-03 03:03:46,2023-06-28 03:03:46,715.85,16261.62,1390446.0,73991.0,3762,3741,166,166,11198.74,67.46,5.32,0.22,97.96,97.96,0.69,4.41,2.98,Low ROAS Campaign
cmp_0011,Sephora Campaign 0011,email,seasonal_sale,2023-02-18 02:41:39,2023-04-30 02:41:39,1266.24,92795.57,8014738.0,453235.0,3708,3693,151,151,11150.45,73.84,5.66,0.2,614.54,614.54,0.12,4.07,3.01,Low ROAS Campaign
cmp_0078,Sephora Campaign 0078,paid_search,acquisition,2023-01-01 20:54:47,2023-03-12 20:54:47,1312.9,93615.06,7943317.0,274982.0,3945,3925,174,174,11148.03,64.07,3.46,0.34,538.02,538.02,0.12,4.41,2.83,Low ROAS Campaign
cmp_0065,Sephora Campaign 0065,influencer,seasonal_sale,2023-06-16 22:17:54,2023-08-06 22:17:54,941.91,47127.63,3907755.0,113981.0,2621,2613,134,134,9693.52,72.34,2.92,0.41,351.7,351.7,0.21,5.11,3.7,Low ROAS Campaign
cmp_0024,Sephora Campaign 0024,influencer,acquisition,2023-07-13 16:30:06,2023-09-10 16:30:06,1632.16,93015.04,7873244.0,224640.0,2648,2634,130,130,9576.34,73.66,2.85,0.41,715.5,715.5,0.1,4.91,3.62,Low ROAS Campaign
cmp_0029,Sephora Campaign 0029,email,acquisition,2023-01-05 19:57:13,2023-03-15 19:57:13,1615.42,109903.49,8833897.0,487511.0,3743,3716,146,146,9518.83,65.2,5.52,0.23,752.76,752.76,0.09,3.9,2.54,Low ROAS Campaign
cmp_0034,Sephora Campaign 0034,influencer,acquisition,2023-08-29 17:22:28,2023-09-14 17:22:28,716.32,11184.96,865198.0,23389.0,2709,2700,129,129,9467.43,73.39,2.7,0.48,86.71,86.71,0.85,4.76,3.49,Low ROAS Campaign
cmp_0033,Sephora Campaign 0033,influencer,acquisition,2023-10-01 20:55:49,2023-12-05 20:55:49,2303.99,149379.9,12734652.0,373307.0,2707,2693,128,128,9081.31,70.95,2.93,0.4,1167.03,1167.03,0.06,4.73,3.35,Low ROAS Campaign
cmp_0032,Sephora Campaign 0032,influencer,seasonal_sale,2023-02-06 04:44:02,2023-03-01 04:44:02,1937.39,45023.53,3860321.0,111347.0,2693,2688,136,136,9007.61,66.23,2.88,0.4,331.06,331.06,0.2,5.05,3.34,Low ROAS Campaign
cmp_0060,Sephora Campaign 0060,influencer,acquisition,2023-10-07 15:43:19,2023-12-16 15:43:19,417.27,28456.46,2415255.0,65050.0,2658,2648,126,126,8962.81,71.13,2.69,0.44,225.84,225.84,0.31,4.74,3.37,Low ROAS Campaign
cmp_0069,Sephora Campaign 0069,influencer,acquisition,2023-01-16 14:25:58,2023-02-08 14:25:58,1030.59,23052.5,1849333.0,51913.0,2680,2673,119,119,8226.95,69.13,2.81,0.44,193.72,193.72,0.36,4.44,3.07,Low ROAS Campaign
cmp_0077,Sephora Campaign 0077,influencer,new_launch,2023-08-15 01:21:40,2023-10-20 01:21:40,1915.56,124105.78,10615482.0,308608.0,2519,2512,131,131,8215.52,62.71,2.91,0.4,947.37,947.37,0.07,5.2,3.26,Low ROAS Campaign
cmp_0049,Sephora Campaign 0049,influencer,retention,2023-09-22 16:54:13,2023-11-03 16:54:13,1766.98,76279.46,6770216.0,190544.0,2611,2603,102,102,7103.0,69.64,2.81,0.4,747.84,747.84,0.09,3.91,2.72,Low ROAS Campaign
cmp_0008,Sephora Campaign 0008,organic,new_launch,2023-07-30 05:47:20,2023-08-19 05:47:20,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
cmp_0017,Sephora Campaign 0017,direct,acquisition,2023-10-08 00:09:35,2023-11-03 00:09:35,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
cmp_0055,Sephora Campaign 0055,organic,new_launch,2023-01-12 10:35:35,2023-02-10 10:35:35,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
cmp_0074,Sephora Campaign 0074,direct,retention,2023-02-10 21:59:39,2023-02-27 21:59:39,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
cmp_0023,Sephora Campaign 0023,organic,retention,2023-04-21 00:07:58,2023-06-19 00:07:58,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
cmp_0068,Sephora Campaign 0068,organic,new_launch,2023-03-08 19:39:05,2023-05-08 19:39:05,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
cmp_0072,Sephora Campaign 0072,organic,seasonal_sale,2023-06-10 15:26:06,2023-08-19 15:26:06,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
cmp_0075,Sephora Campaign 0075,organic,promotion,2023-08-17 04:37:09,2023-10-19 04:37:09,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
cmp_0076,Sephora Campaign 0076,organic,promotion,2023-04-10 04:48:58,2023-06-05 04:48:58,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
cmp_0014,Sephora Campaign 0014,direct,new_launch,2023-09-23 11:43:08,2023-11-11 11:43:08,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
cmp_0016,Sephora Campaign 0016,organic,acquisition,2023-01-27 05:07:17,2023-03-28 05:07:17,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
cmp_0035,Sephora Campaign 0035,direct,acquisition,2023-01-25 10:11:15,2023-03-17 10:11:15,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
cmp_0043,Sephora Campaign 0043,direct,acquisition,2023-04-16 18:03:34,2023-06-15 18:03:34,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
cmp_0045,Sephora Campaign 0045,direct,acquisition,2023-03-08 01:27:12,2023-04-28 01:27:12,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
cmp_0066,Sephora Campaign 0066,organic,retention,2023-03-26 06:27:22,2023-05-04 06:27:22,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
cmp_0067,Sephora Campaign 0067,organic,acquisition,2023-01-27 12:35:45,2023-03-29 12:35:45,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
cmp_0071,Sephora Campaign 0071,direct,promotion,2023-07-28 19:19:49,2023-08-17 19:19:49,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
cmp_0080,Sephora Campaign 0080,organic,promotion,2023-10-08 05:56:15,2023-12-16 05:56:15,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
cmp_0003,Sephora Campaign 0003,organic,seasonal_sale,2023-03-22 07:59:46,2023-04-19 07:59:46,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
cmp_0019,Sephora Campaign 0019,organic,retention,2023-01-12 22:45:21,2023-02-06 22:45:21,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
cmp_0038,Sephora Campaign 0038,organic,acquisition,2023-02-23 07:22:15,2023-04-01 07:22:15,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
cmp_0047,Sephora Campaign 0047,organic,promotion,2023-03-08 06:18:33,2023-04-14 06:18:33,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
cmp_0054,Sephora Campaign 0054,direct,seasonal_sale,2023-10-20 06:37:19,2023-12-13 06:37:19,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
cmp_0064,Sephora Campaign 0064,organic,promotion,2023-01-10 06:14:46,2023-03-24 06:14:46,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,,,,,,No Revenue
